deprivation,covid,logspend,spend
54.581,0,2.0228386876170608,7.56
54.581,0,2.405704666557263,11.09
54.581,0,2.1556335905973434,8.63
54.581,0,2.0905155846896184,8.09
54.581,0,2.144822676036237,8.54
54.581,0,2.2998821258703734,9.97
54.581,0,2.710330536511056,15.03
54.581,0,2.4847115478459005,12
54.581,0,2.1167740034686484,8.3
54.581,0,1.9648625468160075,7.13
54.581,0,2.1473304200526715,8.56
54.581,0,2.116980998457694,8.31
54.581,0,2.2740179341757694,9.72
54.581,0,1.826287790454421,6.21
54.581,0,2.2619137118531647,9.6
54.581,0,2.411775589289812,11.15
54.581,0,1.787429598083111,5.97
54.581,0,1.9538026169775329,7.06
54.581,0,2.3537809862034837,10.53
54.581,0,2.100244999630353,8.17
54.581,0,2.0608161751188487,7.85
54.581,0,2.036359248727708,7.66
54.581,0,2.1214828065271045,8.34
54.581,0,2.3420862718046616,10.4
54.581,0,2.6003897948443,13.47
54.581,0,2.1860817824133756,8.9
54.581,0,2.3160467312329396,10.14
54.581,0,2.057146101430255,7.82
54.581,0,2.0041766596494965,7.42
54.581,0,2.1597558995835553,8.67
54.581,0,2.2779749089403465,9.76
54.581,0,2.331790220350892,10.3
54.581,0,2.3077257632072636,10.05
54.581,0,2.223587216307946,9.24
54.581,0,2.0704538094498037,7.93
54.581,0,2.2175348017867367,9.18
54.581,0,2.429844283193359,11.36
54.581,0,1.9623920990146055,7.12
54.581,0,1.811325893224598,6.12
54.581,0,2.0972263784576177,8.14
54.581,0,2.2658827030518407,9.64
54.581,0,2.3787191619623362,10.79
54.581,0,2.264914519796362,9.63
54.581,0,2.3543998732474636,10.53
54.581,0,2.1398016797094654,8.5
54.581,0,2.2723931998050135,9.7
54.581,0,2.2612925774583315,9.6
54.581,0,1.8017926056519302,6.06
54.581,0,2.332834248837847,10.31
54.581,0,2.078550060253292,7.99
54.581,0,1.938846291909835,6.95
54.581,0,2.2391686728299374,9.39
54.581,0,2.1226799807925363,8.35
54.581,0,2.3994631540943736,11.02
54.581,0,2.396372848477028,10.98
54.581,0,2.316412137360752,10.14
54.581,0,2.154648434472676,8.62
54.581,0,2.595438783176735,13.4
54.581,0,2.3932002629981484,10.95
54.581,0,2.0745878699448945,7.96
54.581,0,2.2408714035441144,9.4
54.581,0,1.9846320633379728,7.28
54.581,0,2.6392757797089543,14
54.581,0,2.4215796935790395,11.26
54.581,0,2.351617677491975,10.5
54.581,0,2.246870661210707,9.46
54.581,0,2.347775622481115,10.46
54.581,0,2.1757073710034684,8.81
54.581,0,1.950112306766555,7.03
54.581,0,2.4837816987257013,11.99
54.581,0,2.3079442971720745,10.05
54.581,0,2.108685238751188,8.24
54.581,0,2.469678584049654,11.82
54.581,0,1.8592620842766021,6.42
54.581,0,2.1734877843873095,8.79
54.581,0,2.402021925714474,11.05
54.581,0,2.052166935727785,7.78
54.581,0,2.6117310855534033,13.62
54.581,0,2.289647831975309,9.87
54.581,0,2.5528651928211317,12.84
54.581,0,2.3846641366434422,10.86
54.581,0,2.1013202225050254,8.18
54.581,0,2.1850077825573186,8.89
54.581,0,2.04854256737978,7.76
54.581,0,2.1813245866843354,8.86
54.581,0,1.9798396239082476,7.24
54.581,0,2.5516261670219667,12.83
54.581,0,2.2465427155046056,9.45
54.581,0,2.2308965409644097,9.31
54.581,0,1.9291237614126489,6.88
54.581,0,2.4151176399416827,11.19
54.581,0,2.1438850306768074,8.53
54.581,0,2.320294262317465,10.18
54.581,0,2.053992852589995,7.8
54.581,0,1.803867861113193,6.07
54.581,0,2.2176781344742955,9.19
54.581,0,2.2130059599070235,9.14
54.581,0,2.2512268596214153,9.5
54.581,0,1.9656345629642409,7.14
54.581,0,2.2046111309190737,9.07
23.074,0,2.3722497262779316,10.72
23.074,0,3.002936598114294,20.14
23.074,0,2.3793738685805415,10.8
23.074,0,2.4444397987103246,11.52
23.074,0,2.7403218247440084,15.49
23.074,0,2.5384329301883453,12.66
23.074,0,2.4636946248394587,11.75
23.074,0,2.6243069446837244,13.8
23.074,0,2.9900071681198206,19.89
23.074,0,2.3923524026654484,10.94
23.074,0,2.587088152836671,13.29
23.074,0,2.5573964896866945,12.9
23.074,0,2.916398069880812,18.47
23.074,0,2.983658445777966,19.76
23.074,0,2.5491634020234684,12.8
23.074,0,2.9652669709530453,19.4
23.074,0,2.5965191308653783,13.42
23.074,0,2.520873384423275,12.44
23.074,0,2.4926324851794375,12.09
23.074,0,2.8550191401449623,17.37
23.074,0,2.7717674190341035,15.99
23.074,0,2.3351908972685673,10.33
23.074,0,2.60461832480347,13.53
23.074,0,2.569848627640752,13.06
23.074,0,2.5289020945078984,12.54
23.074,0,2.3534888866491968,10.52
23.074,0,2.6554720842929274,14.23
23.074,0,2.5402780795441555,12.68
23.074,0,2.711442298256965,15.05
23.074,0,2.879275702655802,17.8
23.074,0,2.4207661624787575,11.25
23.074,0,2.7298114825220985,15.33
23.074,0,2.8379964663837853,17.08
23.074,0,2.8550990053404113,17.38
23.074,0,2.9025498622971755,18.22
23.074,0,2.3745582289995917,10.75
23.074,0,2.102140141128962,8.18
23.074,0,2.5274161083925315,12.52
23.074,0,2.528936421340772,12.54
23.074,0,3.117279420656487,22.58
23.074,0,2.41399987676244,11.18
23.074,0,2.55254266365179,12.84
23.074,0,2.6334392334617527,13.92
23.074,0,2.6983753070176526,14.86
23.074,0,2.5195287365325276,12.42
23.074,0,2.400173915441209,11.03
23.074,0,2.47143706893657,11.84
23.074,0,2.440103924003974,11.47
23.074,0,2.29379229365018,9.91
23.074,0,2.1459808797025777,8.55
23.074,0,2.400927999118414,11.03
23.074,0,2.484022579758987,11.99
23.074,0,2.7791256605365326,16.1
23.074,0,2.2777439649805635,9.75
23.074,0,2.7359037424356876,15.42
23.074,0,2.6682158155390048,14.41
23.074,0,2.624305290231619,13.79
23.074,0,2.3183031095931144,10.16
23.074,0,2.8249929088558745,16.86
23.074,0,2.529989092884173,12.55
23.074,0,2.9213993157802403,18.57
23.074,0,2.5260114842388934,12.5
23.074,0,2.6608457033058017,14.31
23.074,0,2.692017253936045,14.76
23.074,0,2.554362408620614,12.86
23.074,0,2.670348713419955,14.45
23.074,0,2.9389896963417295,18.9
23.074,0,2.6287119277693347,13.86
23.074,0,2.4905170070712974,12.07
23.074,0,2.6587527211372435,14.28
23.074,0,2.7272070573225324,15.29
23.074,0,2.836788682010557,17.06
23.074,0,2.5577583727223545,12.91
23.074,0,2.8536530609153368,17.35
23.074,0,2.7140149901853015,15.09
23.074,0,2.6183154917957117,13.71
23.074,0,2.7576144295573193,15.76
23.074,0,2.702624216771589,14.92
23.074,0,2.482150453373287,11.97
